Study,study_long,Chemical,eec,eec_source,Class,Pathway,Species,Type,Response,parameter,rfx
Halstead_meso2018,Halstead et al 2018,Chlorpyrifos,64,http://dx.doi.org/10.1016/j.chemosphere.2015.03.091,Insecticide,direct larvae,Schistosoma mansoni,eggs,viability,vq,
Halstead_meso2018,Halstead et al 2018,Fertilizer,4400,N-study,Fertilizer,direct larvae,Schistosoma mansoni,eggs,viability,vq,
Halstead_meso2018,Halstead et al 2018,Atrazine,102,https://doi:10.1038/s41467-018-03189-w,Herbicide,direct larvae,Schistosoma haematobium,eggs,viability,vq,
Halstead_meso2018,Halstead et al 2018,Chlorpyrifos,64,http://dx.doi.org/10.1016/j.chemosphere.2015.03.091,Insecticide,direct larvae,Schistosoma haematobium,eggs,viability,vq,
Halstead_meso2018,Halstead et al 2018,Fertilizer,4400,N-study,Fertilizer,direct larvae,Schistosoma haematobium,eggs,viability,vq,
Hasheesh2011,Hasheesh & Mohamed 2011,Chlorpyrifos,64,http://dx.doi.org/10.1016/j.chemosphere.2015.03.091,Insecticide,direct larvae,Schistosoma haematobium,cercariae,mortality,piC,piC_ch_Hash11_uncertainty
Hasheesh2011,Hasheesh & Mohamed 2011,Profenofos,15.38,https://doi.org/10.1016/j.agwat.2012.01.009,Insecticide,direct larvae,Schistosoma haematobium,cercariae,mortality,piC,piC_pr_Hash11_uncertainty
Hasheesh2011,Hasheesh & Mohamed 2011,Chlorpyrifos,64,http://dx.doi.org/10.1016/j.chemosphere.2015.03.091,Insecticide,direct larvae,Schistosoma haematobium,miracidia,mortality,piM,piM_ch_Hash11_uncertainty
Hasheesh2011,Hasheesh & Mohamed 2011,Profenofos,15.38,https://doi.org/10.1016/j.agwat.2012.01.009,Insecticide,direct larvae,Schistosoma haematobium,miracidia,mortality,piM,piM_pr_Hash11_uncertainty
Hasheesh2011,Hasheesh & Mohamed 2011,Chlorpyrifos,64,http://dx.doi.org/10.1016/j.chemosphere.2015.03.091,Insecticide,direct snail,Bulinus truncatus,,mortality,muNq,muNq_ch_hash11_uncertainty
Hasheesh2011,Hasheesh & Mohamed 2011,Profenofos,15.38,https://doi.org/10.1016/j.agwat.2012.01.009,Insecticide,direct snail,Bulinus truncatus,,mortality,muNq,muNq_prof_hash11_uncertainty
Hussein2016,Hussein et al 2016,NPK_20_20_20,4400,PLACEHOLDER,Fertilizer,direct snail,Biomphalaria alexandrina,,mortality,muNq,muNq_balanced_hussein16_uncertainty
Hussein2016,Hussein et al 2016,NPK_5_40_5,4400,PLACEHOLDER,Fertilizer,direct snail,Biomphalaria alexandrina,,mortality,muNq,muNq_highp_hussein16_uncertainty
Hussein2016,Hussein et al 2016,NPK_35_5_5,4400,PLACEHOLDER,Fertilizer,direct snail,Biomphalaria alexandrina,,mortality,muNq,muNq_highn_hussein16_uncertainty
Ibrahim1992,Ibrahim et al 1992,Chlorpyrifos,64,http://dx.doi.org/10.1016/j.chemosphere.2015.03.091,Insecticide,direct snail,Biomphalaria alexandrina,,mortality,muNq,muNq_chlor_ibr92_uncertainty
Ibrahim1992,Ibrahim et al 1992,Chlorpyrifos,64,http://dx.doi.org/10.1016/j.chemosphere.2015.03.091,Insecticide,direct snail,Biomphalaria alexandrina,,reproduction,fNq,fNq_chlor_ibr92_uncertainty
Johnson2007,Johnson et al 2007,Ammonium Nitrate & Phosphoric Acid,1800,N-study,Fertilizer,direct snail,Planorbella trivolvis,,reproduction,fNq,johnson07_fNq_uncertainty
Johnson2007,Johnson et al 2007,Ammonium Nitrate & Phosphoric Acid,1800,N-study,Fertilizer,bottom-up,Planorbella trivolvis,,cercariae production,thetaq,johnson07_theta_uncertainty
Johnson2007,Johnson et al 2007,Ammonium Nitrate & Phosphoric Acid,1800,N-study,Fertilizer,bottom-up,Planorbella trivolvis,,reproduction,phiNq,johnson07_phiNq_uncertainty
Koprivnikar2006,Koprivnikar et al 2006,Atrazine,102,https://doi:10.1038/s41467-018-03189-w,Herbicide,direct larvae,Echinistoma trivolvis,cercariae,mortality,piC,piC_kop_atr_unc
